49140.78115;163350.9095;84.23649617;K45;B45;"GWP;A;Q;87;89";S40;B40;"PENRT - Non Renewable;A;Q;82;84";K42;B42;"AP;A;Q;84;86"
Variante;;;GWP_S;GWP_M;GWP_R;PENRT_S;PENRT_M;PENRT_R;AP_S;AP_M;AP_R
Bestand;;;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG
KfW70_3WSV_HFMW_Pellets_0.05_Solarthermie;;;279688.6333;1345.395265;44064.08661;4552718.698;15909.46016;-965740.4992;934.8929432;15.68406038;-67.03146823
KfW70_3WSV_EPS_WP_0.1_Solarthermie;;;475624.3617;9410.99169;-56982.68367;8187589.333;124399.6084;-1969603.275;2326.818684;14.94243753;-475.1275397
KfW70_3WSV_EPS_WP_0.05_Solarthermie;;;468424.5075;8290.97763;-59969.11071;7852632.466;109594.6531;-1919740.01;2311.208171;13.16411908;-470.9087921
KfW70_3WSV_Holz_WP_0.1_Solarthermie;;;402638.152;9410.99169;-42667.27093;8593221.788;124399.6084;-3204597.558;2395.6071;14.94243753;-556.9716906
KfW70_3WSV_Holz_WP_0.05_Solarthermie;;;421899.25;8290.97763;-47999.21763;8230495.049;109594.6531;-2797772.373;2372.587738;13.16411908;-529.372407
KfW70_3WSV_HFMW_WP_0.1_Solarthermie;;;466183.3755;9410.99169;-48080.28295;8249049.379;124399.6084;-2115559.826;2421.548288;14.94243753;-478.9932284
KfW70_3WSV_HFMW_WP_0.05_Solarthermie;;;464551.3007;8290.97763;-48053.18141;8092158.665;109594.6531;-2098949.586;2404.962481;13.16411908;-478.1248935
KfW70_3WSV_EPS_Gas_0.1_Solarthermie;;;287650.8338;12431.26055;17907.12336;5908323.89;205216.4033;-490981.2873;855.7150956;5.541477624;-50.79421249
KfW70_3WSV_EPS_Gas_0.05_Solarthermie;;;284867.8017;10655.56756;14920.69632;5586653.602;175903.0987;-441118.0223;848.5075824;4.749927732;-46.57546485
KfW70_3WSV_Holz_Gas_0.1_Solarthermie;;;226091.3179;12431.26055;48198.1168;6383196.978;205216.4033;-1923672.057;925.7358034;5.541477624;-133.9533934
KfW70_3WSV_Holz_Gas_0.05_Solarthermie;;;245352.416;10655.56756;42866.17009;5904403.443;175903.0987;-1516846.873;902.7164423;4.749927732;-106.3541098
KfW70_3WSV_HFMW_Gas_0.1_Solarthermie;;;287662.2927;12431.26055;44662.58062;6181094.217;205216.4033;-977771.6441;982.3706329;5.541477624;-65.67892877
KfW70_3WSV_HFMW_Gas_0.05_Solarthermie;;;279341.0312;10655.56756;44687.9439;5829997.437;175903.0987;-961186.5046;934.3207583;4.749927732;-64.82139142
KfW55_3WSV_EPS_Pellets_0.1_Solarthermie;;;307143.3562;1190.458556;23682.52647;4944792.245;14077.31503;-602376.8092;898.3846364;13.87787245;-62.04302902
KfW55_3WSV_EPS_Pellets_0.05_Solarthermie;;;292160.394;202.6937806;16983.16183;4399856.322;2396.878236;-490520.0019;865.5886608;2.362920086;-52.57923554
KfW55_3WSV_Holz_Pellets_0.1_Solarthermie;;;187254.2909;1190.458556;58338.67778;5414347.187;14077.31503;-2814823.255;981.3630076;13.87787245;-200.7888576
KfW55_3WSV_Holz_Pellets_0.05_Solarthermie;;;230461.9802;972.930147;46377.67731;4845768.829;11505.01553;-1902204.188;929.7245497;11.34201641;-138.87619
KfW55_3WSV_HFMW_Pellets_0.1_Solarthermie;;;284256.3759;1190.458556;43283.10135;4686497.038;14077.31503;-1053722.852;991.494128;13.87787245;-76.34723408
KfW55_3WSV_HFMW_Pellets_0.05_Solarthermie;;;282513.96;972.930147;43376.23578;4579651.979;11505.01553;-997233.7535;953.0077474;11.34201641;-73.38875092
KfW55_3WSV_EPS_WP_0.1_Solarthermie;;;489790.0016;8557.126359;-50583.56943;8524281.481;113112.7518;-2076446.913;2357.867394;13.58670056;-484.1671873
KfW55_3WSV_EPS_WP_0.05_Solarthermie;;;474807.0395;7448.743478;-57282.93407;7955579.388;98461.54388;-1964590.105;2325.071418;11.82684968;-474.7033938
KfW55_3WSV_Holz_WP_0.1_Solarthermie;;;361366.955;8557.126359;-31242.33551;9026366.507;113112.7518;-4076315.098;2444.931213;13.58670056;-616.1095722
KfW55_3WSV_Holz_WP_0.05_Solarthermie;;;404574.6443;7448.743478;-43203.33597;8361156.882;98461.54388;-3163696.032;2393.292755;11.82684968;-554.1969046
KfW55_3WSV_HFMW_WP_0.1_Solarthermie;;;480840.2314;8557.126359;-48170.0614;8395880.326;113112.7518;-2172000.465;2520.78059;13.58670056;-481.9308654
KfW55_3WSV_HFMW_WP_0.05_Solarthermie;;;465852.5177;7448.743478;-48080.36892;8037679.971;98461.54388;-2115561.067;2419.992026;11.82684968;-478.9937625
KfW55_3WSV_EPS_Gas_0.1_Solarthermie;;;298346.1135;9428.464566;24306.2376;5837112.617;155645.9684;-597824.9251;880.1614492;4.202922561;-59.8338601
KfW55_3WSV_EPS_Gas_0.05_Solarthermie;;;291250.3337;7705.633571;17606.87296;5389083.125;127205.3144;-485968.1177;862.3708293;3.434936935;-50.37006663
KfW55_3WSV_Holz_Gas_0.1_Solarthermie;;;184820.1209;9428.464566;59623.05222;6510073.07;155645.9684;-2795389.597;975.0599168;4.202922561;-193.091275
KfW55_3WSV_Holz_Gas_0.05_Solarthermie;;;228027.8102;7705.633571;47662.05176;5734547.876;127205.3144;-1882770.531;923.4214589;3.434936935;-131.1786074
KfW55_3WSV_HFMW_Gas_0.1_Solarthermie;;;295067.5037;9428.464566;44570.91774;5936946.949;155645.9684;-1034239.494;1047.493221;4.202922561;-68.62827117
KfW55_3WSV_HFMW_Gas_0.05_Solarthermie;;;280079.79;7705.633571;44660.61022;5468431.026;127205.3144;-977800.0961;946.7046566;3.434936935;-65.69116827
