49140.78115;163350.9095;84.23649617;K45;B45;"GWP;A;Q;87;89";S40;B40;"PENRT - Non Renewable;A;Q;82;84";K42;B42;"AP;A;Q;84;86"
Variante;;;GWP_S;GWP_M;GWP_R;PENRT_S;PENRT_M;PENRT_R;AP_S;AP_M;AP_R
Bestand;;;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG
EnEv2016_FB_EPS_WP_0.05;;;255472.4396;23027.68065;38175.2898;6257734.035;304392.4114;-472513.5221;742.3897836;36.56253143;-17.58007844
EnEv2016_FB_Holz_WP_0.1;;;208791.6911;23007.15504;44165.38833;6451244.493;304121.0927;-1315498.78;760.6436411;36.5299416;-79.45791328
EnEv2016_FB_Holz_WP_0.05;;;222392.947;23027.68065;66184.08954;6331616.878;304392.4114;-1082826.076;754.4695999;36.56253143;-39.74687057
EnEv2016_FB_HFMW_WP_0.1;;;250370.9165;23007.15504;44365.06454;6322700.642;304121.0927;-636032.3043;793.3771272;36.5299416;-29.52375732
EnEv2016_FB_HFMW_WP_0.05;;;250489.6358;23027.68065;60254.57487;6326136.424;304392.4114;-646585.9497;791.7109318;36.56253143;-16.01624975
EnEv2016_2WSV_EPS_WP_0.1;;;274046.2872;22269.60149;38638.41955;6724658.906;294371.7086;-674005.483;843.0358771;35.35888034;-38.7207779
EnEv2016_2WSV_EPS_WP_0.05;;;272896.415;20944.33134;33004.65571;6405026.545;276853.5668;-674806.2816;832.1781122;33.25466358;-39.10978529
EnEv2016_2WSV_Holz_WP_0.1;;;243045.6618;22269.60149;41514.52215;6801059.572;294371.7086;-1111716.205;854.87173;35.35888034;-67.39025418
EnEv2016_2WSV_Holz_WP_0.05;;;259275.9636;20944.33134;41514.52215;6732895.806;276853.5668;-1111716.205;880.5540757;33.25466358;-67.39025418
EnEv2016_2WSV_HFMW_WP_0.1;;;265534.7573;22269.60149;46226.97177;6846763.067;294371.7086;-776638.0376;893.987944;35.35888034;-40.82341121
EnEv2016_2WSV_HFMW_WP_0.05;;;281765.0591;20944.33134;46226.97177;6778599.302;276853.5668;-776638.0376;919.6702897;33.25466358;-40.82341121
EnEv2016_3WSV_EPS_WP_0.1;;;319068.0343;20769.86367;38608.50294;5965778.719;274547.3581;-674412.6495;828.6198631;32.97765002;-38.90570704
EnEv2016_3WSV_EPS_WP_0.05;;;278587.8056;19437.06746;38608.50294;6483914.583;256929.7327;-674412.6495;861.7018214;30.86148366;-38.90570704
EnEv2016_3WSV_Holz_WP_0.1;;;243045.6618;22269.60149;41484.60555;6801059.572;294371.7086;-1112123.372;854.87173;35.35888034;-67.57518332
EnEv2016_3WSV_Holz_WP_0.05;;;247587.2123;19437.06746;41484.60555;6560317.142;256929.7327;-1112123.372;873.5381485;30.86148366;-67.57518332
EnEv2016_3WSV_HFMW_WP_0.1;;;273613.5086;20769.86367;46197.97434;6788281.206;274547.3581;-777031.9315;929.2923674;32.97765002;-41.00263075
EnEv2016_3WSV_HFMW_WP_0.05;;;270076.3079;19437.06746;46197.05516;6606020.638;256929.7327;-777045.2041;912.6543625;30.86148366;-41.00834036
EnEv2016_FB_EPS_Gas_0.1;;;249265.2636;37286.49844;4550.304731;8296161.759;615528.9781;-191292.6553;659.1351366;16.62118624;-26.09908571
EnEv2016_FB_EPS_Gas_0.05;;;249265.2636;37022.89332;2764.879291;8261348.816;611177.3603;-161482.0688;659.1351366;16.5036791;-23.57692151
EnEv2016_FB_Holz_Gas_0.1;;;249265.2636;37286.49844;8173.864811;8296161.759;615528.9781;-742758.0649;659.1351366;16.62118624;-62.21934429
EnEv2016_FB_Holz_Gas_0.05;;;249265.2636;37022.89332;4986.178267;8261348.816;611177.3603;-499538.9859;659.1351366;16.5036791;-45.71920469
EnEv2016_FB_HFMW_Gas_0.1;;;249265.2636;37286.49844;10249.13244;8296161.759;615528.9781;-206456.1182;659.1351366;16.62118624;-22.00089135
EnEv2016_FB_HFMW_Gas_0.05;;;249265.2636;37022.89332;10248.62118;8261348.816;611177.3603;-206463.5006;659.1351366;16.5036791;-22.0040671
EnEv2016_2WSV_EPS_Gas_0.1;;;263908.5458;35898.46005;13848.80979;8541445.809;592615.1115;-362974.0082;751.1597794;16.00244097;-32.88583229
EnEv2016_2WSV_EPS_Gas_0.05;;;263908.5458;33799.95651;13848.80979;8264307.479;557972.8203;-362974.0082;751.1597794;15.06699196;-32.88583229
EnEv2016_2WSV_Holz_Gas_0.1;;;245709.0371;35898.46005;15486.88553;8569050.796;592615.1115;-612270.8575;756.867391;16.00244097;-49.21444783
EnEv2016_2WSV_Holz_Gas_0.05;;;245709.0371;33799.95651;15486.88553;8291912.466;557972.8203;-612270.8575;756.867391;15.06699196;-49.21444783
EnEv2016_2WSV_HFMW_Gas_0.1;;;260434.4229;35898.46005;22075.30655;8689195.966;592615.1115;-420351.732;799.4455306;16.00244097;-32.36094753
EnEv2016_2WSV_HFMW_Gas_0.05;;;258972.1712;33799.95651;22074.92656;8394976.444;557972.8203;-420357.219;792.567507;15.06699196;-32.36330789
EnEv2016_3WSV_EPS_Gas_0.1;;;267188.1472;33523.42957;13818.89318;8249623.29;553407.8878;-363381.1747;767.425341;14.94372466;-33.07076143
EnEv2016_3WSV_EPS_Gas_0.05;;;268450.0964;31412.47409;13818.89318;8007798.605;518560.0388;-363381.1747;769.8261979;14.00272496;-33.07076143
EnEv2016_3WSV_Holz_Gas_0.1;;;3272747.058;33523.42957;15456.96892;8836350.116;553407.8878;-612678.024;3244381.639;14.94372466;-49.39937698
