Bestand;Bestand;Bestand;Bestand;Bestand;Bestand;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG
EnEv2016;2WSV;Holz;WP;0.05;EnEv2016_2WSV_Holz_WP_0.05;1796062.53;276853.57;-1111716.21;37603.96;20944.33;41514.52;318.18;33.25;-67.39;19.25966449;3.78495E-05;-8361.832919
EnEv2016;2WSV;HF MW;WP;0.1;EnEv2016_2WSV_HFMW_WP_0.1;1769784.65;294371.71;-776638.04;43862.75;22269.60;46226.97;331.62;35.36;-40.82;19.26010741;4.02444E-05;-8361.832961
EnEv2016;2WSV;HF MW;WP;0.05;EnEv2016_2WSV_HFMW_WP_0.05;1841766.02;276853.57;-776638.04;60093.05;20944.33;46226.97;357.30;33.25;-40.82;19.26010759;3.78495E-05;-8361.832961
EnEv2016;3WSV;EPS;WP;0.1;EnEv2016_3WSV_EPS_WP_0.1;1706473.87;274547.36;-674412.65;56915.83;20769.86;38608.50;299.33;32.98;-38.91;19.25968807;3.75342E-05;-8361.832918
EnEv2016;3WSV;EPS;WP;0.05;EnEv2016_3WSV_EPS_WP_0.05;1706471.98;256929.73;-674412.65;56915.80;19437.07;38608.50;299.33;30.86;-38.91;19.25959372;3.51256E-05;-8361.832918
EnEv2016;3WSV;Holz;WP;0.1;EnEv2016_3WSV_Holz_WP_0.1;1782874.54;294371.71;-1112123.37;25915.21;22269.60;41484.61;311.17;35.36;-67.58;19.25966439;4.02444E-05;-8361.832919
EnEv2016;3WSV;Holz;WP;0.05;EnEv2016_3WSV_Holz_WP_0.05;1782874.54;256929.73;-1112123.37;25915.21;19437.07;41484.61;311.17;30.86;-67.58;19.25966439;3.51256E-05;-8361.832919
EnEv2016;3WSV;HF MW;WP;0.1;EnEv2016_3WSV_HFMW_WP_0.1;1869897.60;274547.36;-777031.93;51941.50;20769.86;46197.97;366.92;32.98;-41.00;19.26010757;3.75342E-05;-8361.832961
EnEv2016;3WSV;HF MW;WP;0.05;EnEv2016_3WSV_HFMW_WP_0.05;1828578.03;256929.73;-777045.20;48404.30;19437.07;46197.06;350.28;30.86;-41.01;19.26010749;3.51256E-05;-8361.832961
EnEv2016;FB;EPS;Gas;0.1;EnEv2016_FB_EPS_Gas_0.1;649925.19;615528.98;-191292.66;27593.26;37286.50;4550.30;96.76;16.62;-26.10;0.000212006;2.65053E-08;-0.00082523
EnEv2016;FB;EPS;Gas;0.05;EnEv2016_FB_EPS_Gas_0.05;531429.68;611177.36;-161482.07;23662.69;37022.89;2764.88;88.14;16.50;-23.58;0.000203357;2.63179E-08;-0.000824638
EnEv2016;FB;Holz;Gas;0.1;EnEv2016_FB_Holz_Gas_0.1;718827.74;615528.98;-742758.06;-12397.88;37286.50;8173.86;109.90;16.62;-62.22;0.000190514;2.65053E-08;-0.000826531
EnEv2016;FB;Holz;Gas;0.05;EnEv2016_FB_Holz_Gas_0.05;572782.20;611177.36;-499538.99;-882.76;37022.89;4986.18;96.14;16.50;-45.72;0.000190453;2.63179E-08;-0.000825435
EnEv2016;FB;HF MW;Gas;0.1;EnEv2016_FB_HFMW_Gas_0.1;647644.37;615528.98;-206456.12;19955.38;37286.50;10249.13;139.22;16.62;-22.00;0.000633571;2.65053E-08;-0.000867817
EnEv2016;FB;HF MW;Gas;0.05;EnEv2016_FB_HFMW_Gas_0.05;624662.23;611177.36;-206463.50;17987.97;37022.89;10248.62;129.96;16.50;-22.00;0.000633525;2.63179E-08;-0.000867817
EnEv2016;2WSV;EPS;Gas;0.1;EnEv2016_2WSV_EPS_Gas_0.1;1078520.17;592615.11;-362974.01;42236.54;35898.46;13848.81;188.79;16.00;-32.89;0.001719468;2.55186E-08;-5745.516728
EnEv2016;2WSV;EPS;Gas;0.05;EnEv2016_2WSV_EPS_Gas_0.05;1078520.17;557972.82;-362974.01;42236.54;33799.96;13848.81;188.79;15.07;-32.89;0.001719468;2.40269E-08;-5745.516728
EnEv2016;2WSV;Holz;Gas;0.1;EnEv2016_2WSV_Holz_Gas_0.1;1106125.16;592615.11;-612270.86;24037.03;35898.46;15486.89;194.50;16.00;-49.21;0.001710833;2.55186E-08;-5745.516729
EnEv2016;2WSV;Holz;Gas;0.05;EnEv2016_2WSV_Holz_Gas_0.05;1106125.16;557972.82;-612270.86;24037.03;33799.96;15486.89;194.50;15.07;-49.21;0.001710833;2.40269E-08;-5745.516729
EnEv2016;2WSV;HF MW;Gas;0.1;EnEv2016_2WSV_HFMW_Gas_0.1;1226270.33;592615.11;-420351.73;38762.42;35898.46;22075.31;237.07;16.00;-32.36;0.002153945;2.55186E-08;-5745.516772
EnEv2016;2WSV;HF MW;Gas;0.05;EnEv2016_2WSV_HFMW_Gas_0.05;1209189.14;557972.82;-420357.22;37300.17;33799.96;22074.93;230.20;15.07;-32.36;0.002153911;2.40269E-08;-5745.516772
EnEv2016;3WSV;EPS;Gas;0.1;EnEv2016_3WSV_EPS_Gas_0.1;1100355.44;553407.89;-363381.17;45516.14;33523.43;13818.89;205.05;14.94;-33.07;0.00173082;2.38303E-08;-5745.516728
