Bestand;Bestand;Bestand;Bestand;Bestand;Bestand;3244168,48;50559439,36;-163350,91;258054,76;1110686,80;49140,78;663,80;1690,55;84,24;0,599915029;2,17714E-06;-6540,623999
EnEV'16;2WSV;Holz;WP;0,05;EnEV'16_2WSV_Holz_WP_0.05;1796062,53;8305607,00;-1111716,21;37603,96;628329,94;41514,52;318,18;997,64;-67,39;19,25966449;0,001135484;-8361,832919
EnEV'16;2WSV;HF MW;WP;0,1;EnEV'16_2WSV_HFMW_WP_0.1;1769784,65;8831151,26;-776638,04;43862,75;668088,04;46226,97;331,62;1060,77;-40,82;19,26010741;0,001207333;-8361,832961
EnEV'16;2WSV;HF MW;WP;0,05;EnEV'16_2WSV_HFMW_WP_0.05;1841766,02;8305607,00;-776638,04;60093,05;628329,94;46226,97;357,30;997,64;-40,82;19,26010759;0,001135484;-8361,832961
EnEV'16;3WSV;EPS;WP;0,1;EnEV'16_3WSV_EPS_WP_0.1;1706473,87;8236420,74;-674412,65;56915,83;623095,91;38608,50;299,33;989,33;-38,91;19,25968807;0,001126025;-8361,832918
EnEV'16;3WSV;EPS;WP;0,05;EnEV'16_3WSV_EPS_WP_0.05;1706471,98;7707891,98;-674412,65;56915,80;583112,02;38608,50;299,33;925,84;-38,91;19,25959372;0,001053768;-8361,832918
EnEV'16;3WSV;Holz;WP;0,1;EnEV'16_3WSV_Holz_WP_0.1;1782874,54;8236420,74;-1112123,37;25915,21;623095,91;41484,61;311,17;989,33;-67,58;19,25966439;0,001126025;-8361,832919
EnEV'16;3WSV;Holz;WP;0,05;EnEV'16_3WSV_Holz_WP_0.05;1782874,54;7707891,98;-1112123,37;25915,21;583112,02;41484,61;311,17;925,84;-67,58;19,25966439;0,001053768;-8361,832919
EnEV'16;3WSV;HF MW;WP;0,1;EnEV'16_3WSV_HFMW_WP_0.1;1869897,60;8236420,74;-777031,93;51941,50;623095,91;46197,97;366,92;989,33;-41,00;19,26010757;0,001126025;-8361,832961
EnEV'16;3WSV;HF MW;WP;0,05;EnEV'16_3WSV_HFMW_WP_0.05;1828578,03;7707891,98;-777031,93;51941,50;583112,02;46197,97;366,92;925,84;-41,00;19,26010757;0,001053768;-8361,832961
EnEV'16;FB;EPS;Gas;0,1;EnEV'16_FB_EPS_Gas_0.1;531429,68;18335320,81;-191292,66;23662,69;1110686,80;4550,30;88,14;498,64;-49,40;0,000203357;7,89538E-07;-0,00082523
EnEV'16;FB;EPS;Gas;0,05;EnEV'16_FB_EPS_Gas_0.05;531429,68;18335320,81;-161482,07;23662,69;1110686,80;2764,88;88,14;495,11;-23,58;0,000203357;7,89538E-07;-0,000824638
EnEV'16;FB;Holz;Gas;0,1;EnEV'16_FB_Holz_Gas_0.1;647644,37;18465869,34;-206456,12;19955,38;1118594,95;10249,13;139,22;498,64;-22,00;0,000633571;7,95159E-07;-0,000867817
EnEV'16;FB;Holz;Gas;0,05;EnEV'16_FB_Holz_Gas_0.05;572782,20;10459590,59;-499538,99;-882,76;633603,81;4986,18;96,14;282,44;-45,72;0,000190453;4,50401E-07;-0,000825435
EnEV'16;FB;HF MW;Gas;0,1;EnEV'16_FB_HFMW_Gas_0.1;647644,37;10452433,83;-206456,12;19955,38;643454,85;10249,13;139,22;476,65;-22,00;0,000633571;4,66131E-07;-0,000867817
