Variante;49140.78115;163350.9095;GWP_S;GWP_M;GWP_R;PENRT_S;PENRT_M;PENRT_R;;
Bestand;;;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;;
EnEv2016_3WSV_EPS_Gas_0.1;;;267188.1472;33878.19226;13818.89318;8296474.933;559264.3432;-363381.1747;;
EnEv2016_3WSV_EPS_Gas_0.05;;;268450.0964;31412.47409;13818.89318;8007798.605;518560.0388;-363381.1747;;
EnEv2016_3WSV_Holz_Gas_0.1;;;3272747.058;33523.42957;15456.96892;8836350.116;553407.8878;-612678.024;;
EnEv2016_3WSV_Holz_Gas_0.05;;;250250.5877;31412.47409;15456.96892;8035403.593;518560.0388;-612678.024;;
EnEv2016_3WSV_HFMW_Gas_0.1;;;3287963.718;33523.42957;22045.5176;8962234.07;553407.8878;-420757.0552;;
EnEv2016_3WSV_HFMW_Gas_0.05;;;263513.7218;31412.47409;22045.00996;8138467.571;518560.0388;-420764.3854;;
KfW70_3WSV_EPS_Pellets_0.1;;;281969.1751;1992.25528;18851.70877;4437020.199;23558.65733;-462377.9882;;
KfW70_3WSV_EPS_Pellets_0.05;;;274769.3209;1990.3271;15865.28173;4220320.566;23535.85637;-412514.7232;;
KfW70_3WSV_Holz_Pellets_0.1;;;215992.8371;1992.25528;49142.70221;4782539.913;23558.65733;-1895068.758;;
KfW70_3WSV_Holz_Pellets_0.05;;;235253.9352;1992.25528;43810.75551;4538252.815;23558.65733;-1488243.574;;
KfW70_3WSV_HFMW_Pellets_0.1;;;270312.167;1992.25528;45605.28161;4495727.564;23558.65733;-949195.5555;;
KfW70_3WSV_HFMW_Pellets_0.05;;;268680.0922;1992.25528;45632.38315;4457276.491;23558.65733;-932585.3159;;
KfW70_3WSV_EPS_WP_0.1;;;284091.5739;11490.92006;37268.31748;5777087.556;151893.2332;-647687.8526;;
KfW70_3WSV_EPS_WP_0.05;;;276891.7197;11490.92006;34281.89044;5560570.331;151893.2332;-597824.5876;;
KfW70_3WSV_Holz_WP_0.1;;;211105.3642;11490.92006;51583.73022;6182720.011;151893.2332;-1882682.135;;
KfW70_3WSV_Holz_WP_0.05;;;230366.4623;11510.0773;46251.78351;5940458.76;152146.4639;-1475856.951;;
KfW70_3WSV_HFMW_WP_0.1;;;274650.5877;11490.92006;46170.7182;5838547.603;151893.2332;-793644.4034;;
KfW70_3WSV_HFMW_WP_0.05;;;273018.5129;161393561.3;46197.81974;17071688161;2133387901;-777034.1638;;
KfW70_3WSV_EPS_Gas_0.1;;;276642.2926;15778.71671;19475.4199;6193769.043;260476.5204;-457826.104;;
KfW70_3WSV_EPS_Gas_0.05;;;273859.2606;15763.44547;16488.99286;6104588.4;260224.4213;-407962.839;;
KfW70_3WSV_Holz_Gas_0.1;;;215082.7768;15778.71671;49766.41334;6668642.131;260476.5204;-1890516.874;;
KfW70_3WSV_Holz_Gas_0.05;;;234343.8748;15778.71671;44434.46664;6424355.033;260476.5204;-1483691.69;;
KfW70_3WSV_HFMW_Gas_0.1;;;276653.7516;15778.71671;46230.87717;6466539.37;260476.5204;-944616.4608;;
KfW70_3WSV_HFMW_Gas_0.05;;;268332.4901;15778.71671;46256.24044;6349949.027;260476.5204;-928031.3213;;
KfW55_3WSV_EPS_Pellets_0.1;;;296134.815;1613.501328;25250.82301;4828176.713;19079.84648;-569221.6259;;
KfW55_3WSV_EPS_Pellets_0.05;;;281151.8529;336.14611;18551.45837;4255845.256;3974.968016;-457364.8186;;
KfW55_3WSV_Holz_Pellets_0.1;;;176245.7498;1613.501328;59906.97432;5297731.654;19079.84648;-2781668.071;;
KfW55_3WSV_Holz_Pellets_0.05;;;219453.4391;1613.501328;47945.97386;4749731.693;19079.84648;-1869049.005;;
KfW55_3WSV_HFMW_Pellets_0.1;;;273247.8348;1613.501328;44851.39789;4569881.506;19079.84648;-1020567.668;;
KfW55_3WSV_HFMW_Pellets_0.05;;;271505.4189;1613.501328;44944.53232;4483614.843;19079.84648;-964078.5702;;
KfW55_3WSV_EPS_WP_0.1;;;298257.2138;10613.10819;43667.43172;6111247.397;140289.8382;-754531.4903;;
KfW55_3WSV_EPS_WP_0.05;;;283274.2517;10598.05607;36968.06708;5658163.232;140090.8712;-642674.683;;
KfW55_3WSV_Holz_WP_0.1;;;169834.1672;10613.10819;63008.66564;6613332.423;140289.8382;-2754399.675;;
KfW55_3WSV_Holz_WP_0.05;;;213041.8565;10598.05607;51047.66518;6063740.725;140090.8712;-1841780.609;;
KfW55_3WSV_HFMW_WP_0.1;;;289307.4436;10613.10819;46080.93975;5982846.242;140289.8382;-850085.0423;;
KfW55_3WSV_HFMW_WP_0.05;;;274319.7299;10598.05607;46170.63223;5740263.815;140090.8712;-793645.6448;;
KfW55_3WSV_EPS_Gas_0.1;;;287337.5723;12778.97497;25874.53414;6122961.128;210956.5053;-564669.7418;;
KfW55_3WSV_EPS_Gas_0.05;;;280241.7926;12778.97497;19175.1695;5902456.868;210956.5053;-452812.9344;;
KfW55_3WSV_Holz_Gas_0.1;;;173811.5798;12778.97497;61191.34877;6795921.581;210956.5053;-2762234.414;;
KfW55_3WSV_Holz_Gas_0.05;;;217019.2691;12778.97497;49230.3483;6247921.62;210956.5053;-1849615.348;;
KfW55_3WSV_HFMW_Gas_0.1;;;284058.9626;12778.97497;46139.21429;6222795.461;210956.5053;-1001084.31;;
KfW55_3WSV_HFMW_Gas_0.05;;;269071.2489;12778.97497;46228.90676;5981804.769;210956.5053;-944644.9129;
